Fond;ISIN
AB FCP I Emerging Markets Debt;LU0246603467
AB FCP I Global High Yield A2;LU0232560531
AB SICAV I American Gr Ptf A A;LU0079474960
AB SICAV I European Eq Ptf A A;LU0124675678
AB SICAV I US HY Portf SEK H;LU2221865798
Aktia Capital B;FI0008801071
Aktie-Ansvar Avkastningsfond;SE0000735771
Aktie-Ansvar Sverige A;SE0000735789
Aktie-Ansvar Total;SE0003428143
Allianz Europe Equity Growth A;LU0256839274
Amundi CPR Inv Glob Gold Mine;LU1989766289
Atlant Edge;SE0001007527
Atlant Green Tech Metals;SE0008015077
Atlant Multi-Strategy;SE0007870993
Atlant Opportunity;SE0007871488
Atlant Protect;SE0007871694
Atlant Sharp;SE0002090621
Atlant Stability;SE0002623553
BGF Emerging Markets A2;LU0047713382
BGF European Special Situation;LU0154234636
BGF European Value A2;LU0072462186
BGF Global Long-Horizon Equity;LU0011850046
BGF Sustainable Energy A2;LU0124384867
BGF US Basic Value A2;LU0072461881
BGF US Flexible Equity A2;LU0154236417
BGF US Growth A2;LU0097036916
BGF World Gold A2;LU0171305526
BGF World Mining A2;LU0075056555
BNPP Asia ex-Japan Equity C C;LU0823397103
BNPP Brazil Equity C C;LU0265266980
BNPP China Equity C C;LU0823426308
BNPP Euro Equity C C;LU0823401574
BNPP Europe Emerging Equity CC;LU0823403356
BNPP Europe Equity C D;LU0823400097
BNPP Europe Small Cap C C;LU0212178916
BNPP Germany MF Equity C C;LU0823427611
BNPP Global Environment C C;LU0347711466
BNPP Health Care Innovators CC;LU0823416762
BNPP India Equity C C;LU0823428932
BNPP Latin America Equity C D;LU0075933175
BNPP Nordic Small Cap C C;LU0950372838
BNPP Turkey Equity C C;LU0265293521
BNPP US Growth C C;LU0823434583
BNPP US High Yield Bond C C;LU0111549480
BNPP US Short Duration Bond CC;LU0012182399
Brown Advisory US Equity Growt;IE00B0PVD642
Brown Advisory US Smaller Comp;IE00B0PVDG43
BSF Americas Div Eq Abs Ret A2;LU0765562458
BSF Dynamic Diversified Growth;LU0724654230
C WorldWide Asia 1A;LU0835599696
C WorldWide Gl Eq Ethical 1A;LU0122292328
C WorldWide Global Equities 1A;LU0086737722
C WorldWide Healthcare Select;LU0090908194
C WorldWide Stable Equities 1A;LU0093943974
C Worldwide Sweden Small Cap;LU0424682077
Carnegie Asia A;SE0001172263
Carnegie Corporate Bond 3 SEK;LU0075898915
Carnegie Fastighetsfond Norden;SE0004296515
Carnegie Global A;SE0005703766
Carnegie Indienfond A;SE0001209834
Carnegie Investment Grade A;SE0000429847
Carnegie Likviditetsfond A;SE0000429854
Carnegie Listed Private Equity;SE0003039874
Carnegie Obligationsfond;SE0000709313
Carnegie Rysslandsfond A;SE0000429821
Carnegie Strategifond A;SE0000429813
Carnegie Sverigefond A;SE0000429789
Case All Star;SE0010134288
Case Fair Play;SE0001338674
Case Safe Play;SE0003723808
Catella Avkastning;SE0000577280
Catella Balanserad;SE0001396110
Catella Hedgefond A;SE0001131335
Catella Nordic Corp Bond R;LU0542989941
Catella Nordic Corp Bond RD;LU0989954127
Catella Småbolag;SE0000577330
Catella Sverige Aktiv Hållbarh;SE0000577322
CB Save Earth Fund RC;LU0354788688
Cicero Avkastningsfond A;SE0000891772
Cliens Mixfond A;SE0001338815
Cliens Mixfond B;SE0004841070
Cliens Sverige A;SE0001338799
Danske Invest Aktiv Förmögenhe;LU1349997640
Danske Invest Europe Small Cap;LU0123485178
Danske Invest Global Index SA;LU1349492527
Danske Invest Horisont Aktie;LU1349504479
Danske Invest Horisont Balanse;LU1349505955
Danske Invest Horisont Försikt;LU1349507498
Danske Invest Sverige Kort Rän;LU1349496940
Danske Invest Sverige SA;LU1349494812
Delphi Europe;NO0010039712
Delphi Nordic;NO0010039670
Didner & Gerge Aktiefond;SE0000428336
Didner & Gerge Global;SE0004167567
Didner & Gerge Small & Microca;SE0005962347
Didner & Gerge Småbolag;SE0002699421
Didner & Gerge US Small and Mi;SE0008347447
DNB Fund Asian Small Cap retai;LU0067059799
DNB Fund Emerging Markets Eq;LU0090738252
DNB Fund Future Waves;LU0029375739
DNB Fund Private Equity retail;LU0302296065
DNB Fund Renewable Energy reta;LU0302296149
DNB Nordic Equities;LU0083425479
DNB Nordic Equities;LU0083425479
East Capital Balkan;SE0001244328
East Capital Global EM Sus EUR;LU0212839673
East Capital Global EM Sus SEK;LU0562934264
East Capital Global Frontier M;LU1125674611
East Capital Multi-Strategi;SE0007278585
East Capital Nya Europa;SE0000777724
