namn,isin,msid
Movestic Entré ITP,,
Carniege Obligationsfond ,SE0000709313,F0GBR04K8H
Allianz Europe Equity Growth AT EUR,LU0256839274,F0000000K4
AMF Räntefond Kort,SE0001184961,F0GBR04VHI
Didner & Gerge Aktiefond,SE0000428336,F0GBR04EXK
Handelsbanken Asien Tema ,SE0000356073,F0GBR04F5V
Handelsbanken Tillväxtmark Tema ,SE0000429748,F0GBR04F6I
Pictet Japan Index R JPY,LU0496414607,F00000HLAQ
SEB Eastern Europe Small Cap Fund C,LU0086828794,F0GBR04M47
Öhman Etisk Index USA A,SE0000577967,F0GBR04LU9
Öhman Global Hållbar A,SE0000533945,F0GBR04LUZ
Öhman Sweden Micro Cap,SE0000432809,F0GBR04F08
Senast uppdaterad, 2021-07-10, 2021-07-10
