namn,isin,msid
C Worldwide Asia,LU0835599696,F00000P278
C Worldwide Sweden Small Cap,LU0424682077,F00000GWUB
Carnegie Corporate Bond 3,LU0075898915,F0GBR04KTN
Schroder BRIC,LU0228659784,F0GBR0636A
Schroder Emerging Europé,LU0106820458,F0GBR04AG2
Spiltan Aktiefond Stabil,SE0001015348,F0GBR04HP3
SPP Obligationsfond,SE0000522518,F0GBR04FXT
Swedbank Robur Access Asien,SE0007074117,F00000W8AA
Swedbank Robur Access Edge Jap,SE0007074091,F00000W8BT
Swedbank Robur Access Europa,SE0007073937,F00000W7S6
Swedbank Robur Access Global,SE0007074059,F00000W8C0
Swedbank Robur Access Mix,SE0000434359,F0GBR04LRF
Swedbank Robur Access Sverige,SE0007074075,F00000W7S5
Swedbank Robur Access USA,SE0007074083,F00000W8AB
Swedbank Robur Europafond I,SE0000539454,F0GBR04LPX
Swedbank Robur Fastighet,SE0000537763,F0GBR04LS0
Swedbank Robur Global Em Mkts,SE0001912924,F0000003L1
Swedbank Robur Globalfond I,SE0000542979,F0GBR04LQU
Swedbank Robur Mixfond Pension,SE0000602252,F0GBR04LRL
Swedbank Robur Ny Teknik,SE0000709123,F0GBR04KDE
Swedbank Robur Räntefond Kort,SE0000543043,F0GBR04FPE
Swedbank Robur Tal. Aktie MEGA,SE0000542987,F0GBR04LSU
Swedbank Robur Sverige MEGA,SE0000537771,F0GBR04LSM
Senast uppdaterad,2021-07-10,
