namn,isin,msid
Danske Invest Alloc Horisont Försikti,LU1349507738,F00000ZPTR
Danske Invest Global Index,LU1349493178,F00000ZPSP
Danske Invest Sverige Beta,LU1349503232,F00000ZPSK
Danske Invest Sverige Kort Ränt,LU1349497328,F00000ZPTB
Danske Invest Sverige Ränt,LU1349499027,F00000ZPSZ
Didner & Gerge Aktiefond,SE0000428336,F0GBR04EXK
Didner & Gerge Global,SE0004167567,F00000MZ03
ODIN Sverige,NO0008000023,F0GBR04UQH
SPP Obligationsfond,SE0004576452,F00000OTOM
Swedbank Robur Access Mix,SE0000434359,F0GBR04LRF
Swedbank Robur Fastighet,SE0000537763,F0GBR04LS0
Swedbank Robur Östeuropafon,SE0000539421,F0GBR04LSS
Öhman Etisk Emerging Markets,SE0004578615,F00000OI1S
Öhman Etisk Index Europa,SE0000577975,F0GBR04LU3
Öhman Etisk Index Japan,SE0000577959,F0GBR04LU5
Öhman Etisk Index Pacific,SE0000577983,F0GBR04LU7
Öhman Etisk Index USA,SE0000577967,F0GBR04LU9

Uppdaterad,2021-07-10
