namn,isin,msid,
Handelsbanken Amerika Småbolag Tema,SE0011336908,F000011HYC,
Handelsbanken Asien Tema,SE0000356073,F0GBR04F5V,
Handelsbanken Europa Småbolag,SE0000396574,F0GBR04KRC,
Handelsbanken Företagsobligation,SE0005993128,F00000UDDD,
Handelsbanken Global Tema,SE0000356263,F0GBR04F6J,
Handelsbanken Hållbar Energi,SE0005965662,F00000UI2B,
Handelsbanken Institutionell Kortränta,SE0008613863,F00000XDYP,
Handelsbanken Japan Tema,SE0000356099,F0GBR04F61,
Handelsbanken Långränta,SE0000356297,F0GBR04F66,
Handelsbanken Svenska Småbolag,SE0000356065,F0GBR04F6F,
Handelsbanken Sverige Index Criteria,SE0001466368,F0GBR063W9,
Handelsbanken Sverige Selektiv,SE0005965639,F00000UF23,
Handelsbanken Tillväxtmarknad Tema,SE0000429748,F0GBR04F6I,
BGF Emerging Europe A2 EUR,LU0011850392,F0GBR04AR1,
Senast uppdaterad,2021-07-10,2021-07-10,
