namn,isin,msid,,
Handelsbanken Asien Tema,SE0000356073,F0GBR04F5V,,
Handelsbanken Tillväxtmarknad Tema,SE0000429748,F0GBR04F6I,,
Janus Henderson Global Technology USD,LU0196035553,F000002314,,
Schroder Emerging Europe A Acc EUR,LU0106817157,F0GBR04AG4,,
SPP Aktiefond Europa,SE0000531881,F0GBR04FXN,,
SPP Aktiefond Global,SE0000671919,F0GBR04M88,,
SPP Aktiefond Japan,SE0000621393,F0GBR04FXO,,
SPP Aktiefond Sverige,SE0000529992,F0GBR04FXQ,,
SPP Aktiefond USA,SE0000594111,F0GBR04FXR,,
SPP Emerging Markets SRI,SE0003455658,F00000LN6Q,,
SPP Global Multifactor Plus,SE0011642958,F0000118YE,,
SPP Global Solutions,SE0004576452,F00000OTOM,,
SPP Korträntefond,SE0000522500,F0GBR04FXU,,
SPP Obligationsfond,SE0000522518,F0GBR04FXT,,
Öhman Småbolagsfond,SE0000432809,F0GBR04F08,,
Senast uppdaterad,2021-07-10,2021-07-10,,
