namn,isin,msid
AMF Aktiefond Asien Stilla havet,SE0002572313,F0000023UO
AMF Aktiefond Europa,SE0000739153,F0GBR04K9U
AMF Aktiefond Global,SE0000862278,F0GBR04LES
AMF Aktiefond Nordamerika,SE0002042283,F000000K08
AMF Aktiefond Småbolag,SE0001185000,F0GBR04VHA
AMF Aktiefond Sverige,SE0000739195,F0GBR04K9P
AMF Aktiefond Tillväxtmarknader,SE0013110798,F000014H4E
AMF Aktiefond Världen,SE0000739161,F0GBR04K9R
AMF Balansfond,SE0000739179,F0GBR04EUU
AMF Företagsobligationsfond,SE0011414606,F000010YWR
AMF Räntefond Kort,SE0001184961,F0GBR04VHI
AMF Räntefond Lång,SE0000739187,F0GBR04K9W
AMF Räntefond Mix,SE0004324424,F00000NLXN
Vanguard Japan Index,IE0007292083,F0GBR0572L
Senast uppdaterad,2021-07-10,
