namn,isin,msid
Danske Invest SRI Global SI,LU1349493681,F00000ZPSS
Danske Invest Sverige Ränta SI ,LU1349499027,F00000ZPSZ
Didner & Gerge Småbolag ,SE0002699421,F000002F92
KPA Etisk Aktiefond,SE0000885105,F0GBR04KTY
KPA Etisk Blandfond 2,SE0000885089,F0GBR04KU2
Nordea Instituionell Kortränta,FI0008813431,F00000YXPQ
Öhman Etisk Emerging Markets,SE0004578615,F00000OI1S
Öhman Etisk Index Europa,SE0000577975,F0GBR04LU3
Öhman Etisk Index Japan,SE0000577959,F0GBR04LU5
Öhman Etisk Index Pacific,SE0000577983,F0GBR04LU7
Öhman Etisk Index Sverige,SE0001463449,F0GBR05ZTE
Öhman Etisk Index USA,SE0000577967,F0GBR04LU9
Senast uppdaterad,2021-07-11,
