namn,isin,msid
Cliens Småbolag,SE0008992069,F00000XRGU
Danske Invest Alloc Horisont Balanserad,LU1349506334,F00000ZPTO
Danske Invest Alloc Horisont Försiktig,LU1349507738,F00000ZPTR
Danske Invest Europe,LU1891308998,F000011SUJ
Danske Invest Global Index,LU1349493178,F00000ZPSP
Danske Invest Sverige Beta,LU1349503232,F00000ZPSK
Danske Invest Sverige Kort Ränta,LU1349497328,F00000ZPTB
Fidelity Asia Pacific Opportunities Fund,LU0345361124,F000000RLV
IKC Global Flexibel,SE0004951408,F00000PZCY
IKC Sverige Flexibel,SE0003116730,F000005OGN
Lancelot Camelot B,SE0009241649,F00000Y98X
Maj Invest Global Value Equities,LU1321539493,F00000ZWWU
Norron Active,LU0619829491,F00000MTDW
Norron Target,LU0580531472,F00000LYDY
Schroder Emerging Europe,LU0106817157,F0GBR04AG4
Schroder Latin American,LU0106259046,F0GBR04AEA
SPP Aktiefond Europa,SE0000531881,F0GBR04FXN
SPP Aktiefond Japan,SE0000621393,F0GBR04FXO
SPP Aktiefond Sverige,SE0000529992,F0GBR04FXQ
SPP Aktiefond USA,SE0000594111,F0GBR04FXR
SPP Emerging Markets SRI,SE0003455658,F00000LN6Q
SPP Global Solutions,SE0004576452,F00000OTOM
SPP Obligationsfond,SE0000522518,F0GBR04FXT
Swedbank Robur Access Mix,SE0000434359,F0GBR04LRF
Swedbank Robur Fastighet,SE0000537763,F0GBR04LS0
Vontobel mtx Sustainable Emerg Mkts Ldrs,LU1602272657,F00000Z004
Öhman Etisk Index Pacific,SE0000577983,F0GBR04LU7
Senast uppdaterad,2021-07-11,
