namn,isin,msid
Fidelity EMEA Fund,LU0303821028,F000000ESU
Lannebo Småbolag,SE0000740698,F0GBR04F6T
Länsförsäkringar Europa Aktiv ,SE0008585376,F00000WYMY
Länsförsäkringar Europa Indexnära,SE0002793935,F000003SS5
Länsförsärkingar fastighetsfond,SE0000837338,F0GBR04LEF
Länsförsäkringar Global Hållbar B,SE0008585467,F00000WYNM
Länsförsäkringar Global Indexnära,SE0005188836,F00000PYZ6
Länsförsäkringar Hållbar Företagsobligation,SE0005506276,F00000QU29
Länsförsäkringar Japan Indexnära,SE0000837296,F0GBR04LEN
Länsförsäkringar Kort Räntefond,SE0000837247,F0GBR04LF6
Länsförsäkringar Multistrategi,SE0008962914,F00000WYO2
Länsförsäkringar Sverige Aktiv,SE0008585475,F00000WYNE
Länsförsäkringar Sverige Indexnära,SE0002656611,F000002ISI
Länsförsärkingar Tillväxtmarknad Indexnära,SE0005796331,F00000TIJU
Länsförsäkringar USA Indexnära,SE0002793943,F000002YC3
Senast uppdaterad,2021-07-11,
