namn,isin,msid
Handelsbanken Amerika Småbolag Tema,SE0011336908,F000011HYC
Handelsbanken Amerika Tema,SE0000355828,F0GBR04F5U
Handelsbanken Asien Tema,SE0000356073,F0GBR04F5V
Handelsbanken EMEA Tema,SE0000356271,F0GBR04F6L
Handelsbanken Europa Index Criteria,SE0000624421,F0GBR04F5Z
Handelsbanken Europa Selektiv,SE0005936903,F00000UDDC
Handelsbanken Företagsobligation,SE0005993128,F00000UDDD
Handelsbanken Global Index Criteria,SE0011309707,F000011IM2
Handelsbanken Global Tema,SE0000356263,F0GBR04F6J
Handelsbanken Hälsovård Tema,SE0000735375,F0GBR04F38
Handelsbanken Japan Tema,SE0000356099,F0GBR04F61
Handelsbanken Kortränta SEK,SE0000356305,F0GBR04F6C
Handelsbanken Latinamerika Tema,SE0000356107,F0GBR04F62
Handelsbanken Långränta,SE0000356297,F0GBR04F66
Handelsbanken Multi Asset 100,SE0001192600,F0GBR04VYP
Handelsbanken Multi Asset 25,SE0005851318,F00000U4MC
Handelsbanken Multi Asset 50,SE0001192618,F0GBR04VD0
Handelsbanken Multi Asset 75,SE0002979245,F0000045YF
Handelsbanken Norden Selektiv,SE0005991700,F00000UDDB
Handelsbanken Norden Tema,SE0000356230,F0GBR04F64
Handelsbanken Svenska Småbolag,SE0000356065,F0GBR04F6F
Handelsbanken Sverige Index Criteria,SE0001466368,F0GBR063W9
Handelsbanken Tillväxtmarknad Tema,SE0000429748,F0GBR04F6I
Senast uppdaterad,2021-07-11,
